,precision,recall,f1-score,support
Benign,1.0,1.0,1.0,101.0
Early,0.9949494949494949,1.0,0.9974683544303797,197.0
Pre,1.0,0.9948186528497409,0.9974025974025974,193.0
Pro,1.0,1.0,1.0,161.0
accuracy,0.9984662576687117,0.9984662576687117,0.9984662576687117,0.9984662576687117
macro avg,0.9987373737373737,0.9987046632124352,0.9987177379582443,652.0
weighted avg,0.9984740038421019,0.9984662576687117,0.9984662072415432,652.0
